"PositionTitle","Name","Organization"
"Manager - Visiting Clubhouse","Kevin Steinhour","phillies"
"Home Clubhouse Assistant","Sean Bowers","phillies"
"Director - Video Coaching Services","Kevin Camiscioli","phillies"
"Coordinator - Video Coaching","Marc Sigismondo","phillies"
"Coordinator - Team Travel","Jameson Hall","phillies"
"Team Chef","Keith Rudolf","phillies"
"Sports Performance Nutritionist","Alexa Scully","phillies"
"Director - Medical Services","Dr. Michael Ciccotti","phillies"
"Head Team Physician","Dr. Steven Cohen","phillies"
"Team Physician","Dr. Marc Harwood","phillies"
"Team Physician","Dr. Robert Frederick","phillies"
"Team Physician","Dr. Jeremy Close","phillies"
"Team Physician","Dr. David Rubenstein","phillies"
"Head Athletic Trainer","Scott Sheridan","phillies"
"Assistant Athletic Trainer","Shawn Fcasni","phillies"
"Assistant Athletic Trainer","Chris Mudd","phillies"
"Major League Strength & Conditioning Coach","Paul Fournier","phillies"
"Assistant Major League Strength & Conditioning Coach","Dong Lien","phillies"
"Minor League Athletic Training & Rehabilitation Coordinator","Joe Rauch","phillies"
"Physical Therapist","Alex Plum","phillies"
"Minor League Strength and Conditioning Coordinator","Furey Leva","phillies"
"Employee Assistance Professional","Dickie Noles","phillies"
"Vice President - Baseball Operations & Assistant General Manager","Perry Minasian","braves"
"Assistant General Manager - Research & Development","Jason Paré","braves"
"Assistant General Manager - Major League Operations","Alex Tamin","braves"
"Special Assistant to the General Manager","Bobby Cox","braves"
"Special Assistant to the General Manager","Mike Fast","braves"
"Director of Player Development","Dom Chiti","braves"
"Special Advisor to Player Development","Eddie Pérez","braves"
"Assistant Director - Pro Scouting","Jonathan Schuerholz","braves"
"Assistant Director - Minor League Operations","Ron Knight","braves"
"Assistant Director - Minor League Personnel","AJ Scola","braves"
"Director - Baseball Administration","Dixie Keller","braves"
"Special Assistant - Baseball Operations","Andruw Jones","braves"
"Special Assistant - Baseball Operations","Chipper Jones","braves"
"Special Assistant - Baseball Operations","Fred McGriff","braves"
"Special Assistant - Baseball Operations","Greg Walker","braves"
"Professional Scout","Billy Ryan","braves"
"Major League Scout","David Holliday","braves"
"Major League Scout","Matt Kinzer","braves"
"Major League Scout","Ron Marigny","braves"
"Major League Scout","Ted Simmons","braves"
"Major League Scout","Terry Tripp Sr.","braves"
"Major League Scout","Rick Williams","braves"
"Manager - Major League Operations","Noah Woodward","braves"
"Manager - Baseball Systems","Garrett Wilson","braves"
"Developer and Data Architect - Baseball Systems","Mike Copeland","braves"
"Data Scientist","Evan Tucker","braves"
"Analyst - Major League Operations","Caelan Collins","braves"
"Analyst - Major League Operations","Nick Coppola","braves"
"Analyst - Major League Operations","Kenny Dorian","braves"
"Analyst - Major League Operations","Adam Sonabend","braves"
"Analyst - Research & Development","Michael Lord","braves"
"Analyst - Research & Development","Josh Malek","braves"
"Analyst - Research & Development","Scott Rapponotti","braves"
"Analyst - Research & Development","Kyle Sargent","braves"
"Analyst - Research & Development ","Ronit Shah","braves"
"Analyst - Research & Development ","Kevin Song","braves"
"Coordinator - Major League Operations","Doug Wachter","braves"
"Coordinator - Scouting","Chris Lionetti","braves"
"Coordinator - Latin American Operations","Jonathan Cruz","braves"
"Assistant - Player Development","Dylan Quantz","braves"
"Manager - Family Relations","Rafael Becerra","braves"
"Assistant - Family Relations","Seth Heizer","braves"
"Trainee - Major League Operations","Tom O'Donnell","braves"
"Trainee - Player Development","Tucker Meredith","braves"
"Bill Lucas Apprentice","Jordan Jackson","braves"
"Director - Equipment & Clubhouse Services","John Holland","braves"
"Director - Team Travel","Jim Lovell","braves"
"Manager - Visiting Clubhouse","Fred Stone","braves"
"Manager - Baseball Video Operations","Rob Smith","braves"
"Assistant Manager - Clubhouse","Eric Durban","braves"
"Assistant Manager - Clubhouse","Chris Hunter","braves"
"Advance Scout","Braden Schlehuber","braves"
"Head Team Physician","Dr. Gary Lourie","braves"
"Director - Player Health/Head Athletic Trainer","George C. Poulis","braves"
"Senior Advisor - Athletic Training","Jeff Porter","braves"
"Major League Head Sports Performance","Brad Scott","braves"
"Performance Therapist","Jordan Wolf","braves"
"Assistant Athletic Trainer","Mike Frostad","braves"
"Physical Therapist","Pete Cicinelli","braves"
"Assistant - Physical Therapist","Nick Valencia","braves"
"Massage Therapist","Yoshi Nishio","braves"
"Senior Director - Field Operations","Ed Mangan","braves"
"Field Manager","Anthony DeFeo","braves"
"Field Manager","Tyler Lenz","braves"
"Assistant - Grounds Crew","Mike Bradberry","braves"
"Vice President & General Manager","Nick Krall","reds"
"Vice President - Assistant General Manager","Sam Grossman","reds"
"VP - Sr. Advisor to President of Baseball Ops.","Buddy Bell ","reds"
"Vice President - Player Personnel ","Chris Buckley","reds"
"Senior Director - Player Personnel ","Jeff Graupe","reds"
"Senior Advisor to Baseball Operations","Joe Morgan","reds"
"Coordinator of Baseball Operations","Mark Edwards","reds"
"Director of Sports Science Initiatives","Charles Leddon","reds"
"Manager of Baseball Systems Development","Brett Elkins","reds"
"Apps Development Specialist - Baseball Systems","Ryan Barger","reds"
